,TD,MD,ED,NE,DA,MA,TA,,
SAI1,1,0,0,1,4,6,1,,
SAI2,0,0,0,0,2,4,7,,
SAI3,0,0,0,2,2,4,5,,TD=TOTALMENTE EN DESACUERDO
SAI4,2,1,2,4,3,1,0,,MD= MUY EN DESACUERDO
SAI5,0,1,3,3,3,3,0,,ED= EN DESACUERDO
SAO1,2,0,1,1,7,2,0,,NE= NEUTRO
SAO2,0,0,2,2,6,3,0,,DA= DE ACUERDO
SAO3,0,0,2,7,3,1,0,,MA= MUY DE ACUERDO
SAO4,0,0,2,3,2,5,1,,TA= TOTALMENTE DE ACUERDO
EI1,0,0,6,6,0,1,0,,
EI2,5,1,2,4,1,0,0,,
EI3,8,0,4,1,0,0,0,,
EC1,0,1,3,5,4,0,0,,
EC2,0,0,7,2,4,0,0,,
EC3,10,1,0,1,1,0,0,,
EC4,1,1,4,4,3,0,0,,
OEO1,0,2,5,2,4,0,0,,
OEO2,1,3,1,3,2,3,0,,
OEO3,4,1,7,1,0,0,0,,
OEO4,3,2,5,3,0,0,0,,
OEO5,2,0,9,0,0,1,1,,
OEO6,6,2,1,4,0,0,0,,
OED1,0,3,4,5,1,0,0,,
OED2,0,3,4,5,1,0,0,,
OED3,0,2,4,6,1,0,0,,
OED4,3,0,6,3,1,0,0,,
OED5,0,1,2,5,5,0,0,,
