,TD,MD,ED,NE,DA,MA,TA,,
SAI1,3,0,0,8,2,1,3,,
SAI2,0,0,0,1,2,1,13,,
SAI3,0,1,0,2,3,1,10,,TD=TOTALMENTE EN DESACUERDO
SAI4,0,1,2,1,1,4,8,,MD= MUY EN DESACUERDO
SAI5,0,1,1,4,2,1,7,,ED= EN DESACUERDO
SAO1,2,1,6,6,0,1,1,,NE= NEUTRO
SAO2,1,0,3,3,4,5,1,,DA= DE ACUERDO
SAO3,2,0,1,4,1,2,7,,MA= MUY DE ACUERDO
SAO4,0,1,6,2,4,1,3,,TA= TOTALMENTE DE ACUERDO
EI1,3,0,4,3,6,0,1,,
EI2,2,0,2,5,7,1,0,,
EI3,0,0,3,4,7,3,0,,
EC1,1,0,0,0,3,1,12,,
EC2,1,0,0,0,4,1,11,,
EC3,1,0,3,6,7,0,0,,
EC4,2,1,2,3,7,0,2,,
OEO1,0,0,1,3,6,7,0,,
OEO2,0,2,1,4,5,5,0,,
OEO3,0,1,3,3,9,0,1,,
OEO4,3,1,4,3,5,0,1,,
OEO5,4,0,5,5,3,0,0,,
OEO6,8,1,1,5,2,0,0,,
OED1,0,0,1,1,7,6,2,,
OED2,0,0,3,0,9,0,5,,
OED3,0,0,4,1,8,4,0,,
OED4,0,0,2,3,6,5,1,,
OED5,0,0,5,0,6,3,3,,
