,TD,MD,ED,NE,DA,MA,TA,,
SAI1,2,1,3,2,2,0,0,,
SAI2,0,0,0,2,1,2,5,,
SAI3,0,0,4,0,5,1,0,,TD=TOTALMENTE EN DESACUERDO
SAI4,0,0,0,2,2,2,4,,MD= MUY EN DESACUERDO
SAI5,1,1,1,3,3,1,0,,ED= EN DESACUERDO
SAO1,1,0,5,0,4,0,0,,NE= NEUTRO
SAO2,3,0,4,0,3,0,0,,DA= DE ACUERDO
SAO3,1,2,1,3,3,0,0,,MA= MUY DE ACUERDO
SAO4,0,0,2,2,2,1,3,,TA= TOTALMENTE DE ACUERDO
EI1,0,0,2,1,6,0,1,,
EI2,5,0,2,3,0,0,0,,
EI3,0,2,5,1,1,1,0,,
EC1,4,1,2,1,2,0,0,,
EC2,3,2,3,1,1,0,0,,
EC3,3,2,1,3,1,0,0,,
EC4,5,2,2,1,0,0,0,,
OEO1,2,0,5,2,1,0,0,,
OEO2,5,0,2,3,0,0,0,,
OEO3,2,0,6,2,0,0,0,,
OEO4,1,0,2,2,5,0,0,,
OEO5,4,0,5,1,0,0,0,,
OEO6,3,0,5,2,0,0,0,,
OED1,1,0,0,0,5,3,1,,
OED2,0,0,3,0,4,2,1,,
OED3,3,0,6,1,0,0,0,,
OED4,1,0,2,1,6,0,0,,
OED5,0,0,2,2,4,1,1,,
