,TD,MD,ED,NE,DA,MA,TA,,
SAI1,0,1,0,3,4,0,3,,
SAI2,1,1,1,3,1,2,2,,
SAI3,0,1,0,3,3,1,3,,TD=TOTALMENTE EN DESACUERDO
SAI4,0,0,0,2,1,1,7,,MD= MUY EN DESACUERDO
SAI5,0,1,1,3,3,2,1,,ED= EN DESACUERDO
SAO1,1,0,0,2,3,3,2,,NE= NEUTRO
SAO2,0,0,0,0,0,3,8,,DA= DE ACUERDO
SAO3,0,1,1,3,4,0,2,,MA= MUY DE ACUERDO
SAO4,0,1,0,2,4,1,3,,TA= TOTALMENTE DE ACUERDO
EI1,2,0,5,1,0,1,2,,
EI2,0,2,5,1,1,1,1,,
EI3,6,1,3,1,0,0,0,,
EC1,1,2,4,2,0,1,1,,
EC2,0,1,4,2,2,1,1,,
EC3,0,1,7,1,1,0,1,,
EC4,0,2,2,1,2,2,2,,
OEO1,0,1,2,0,5,2,1,,
OEO2,0,0,0,3,8,0,0,,
OEO3,1,3,3,1,3,0,0,,
OEO4,0,0,0,3,8,0,0,,
OEO5,2,2,4,1,1,0,1,,
OEO6,0,0,0,3,8,0,0,,
OED1,2,0,5,3,1,0,0,,
OED2,0,0,0,0,7,0,4,,
OED3,4,0,4,2,1,0,0,,
OED4,0,0,0,0,8,0,3,,
OED5,4,0,2,4,1,0,0,,
