,TD,MD,ED,NE,DA,MA,TA,,
SAI1,1,0,1,5,2,2,1,,
SAI2,0,0,0,0,1,7,4,,
SAI3,0,0,0,0,1,4,7,,TD=TOTALMENTE EN DESACUERDO
SAI4,0,0,0,0,2,4,6,,MD= MUY EN DESACUERDO
SAI5,0,0,0,0,2,3,7,,ED= EN DESACUERDO
SAO1,0,0,0,0,2,3,7,,NE= NEUTRO
SAO2,1,0,0,2,2,2,5,,DA= DE ACUERDO
SAO3,0,0,4,2,2,1,3,,MA= MUY DE ACUERDO
SAO4,1,0,0,2,3,1,5,,TA= TOTALMENTE DE ACUERDO
EI1,0,0,2,4,1,3,2,,
EI2,0,0,7,3,1,1,0,,
EI3,0,0,0,5,1,3,3,,
EC1,0,0,0,6,0,2,4,,
EC2,0,0,2,3,3,1,3,,
EC3,0,2,2,4,4,0,0,,
EC4,0,1,2,6,3,0,0,,
OEO1,3,0,0,4,5,0,0,,
OEO2,0,0,1,2,8,1,0,,
OEO3,0,1,0,2,8,1,0,,
OEO4,0,1,0,4,6,0,1,,
OEO5,0,1,1,4,5,1,0,,
OEO6,0,2,1,3,4,2,0,,
OED1,0,1,2,0,7,0,2,,
OED2,0,0,0,0,4,2,6,,
OED3,0,0,1,1,7,3,0,,
OED4,0,0,0,3,5,4,0,,
OED5,0,1,2,3,5,1,0,,
