,TD,MD,ED,NE,DA,MA,TA,,
SAI1,2,5,9,5,6,0,0,,
SAI2,0,1,0,2,7,8,9,,
SAI3,0,1,10,3,10,3,0,,TD=TOTALMENTE EN DESACUERDO
SAI4,0,0,1,1,12,1,12,,MD= MUY EN DESACUERDO
SAI5,1,4,10,4,7,1,0,,ED= EN DESACUERDO
SAO1,0,3,0,6,13,0,5,,NE= NEUTRO
SAO2,6,5,12,3,1,0,0,,DA= DE ACUERDO
SAO3,1,3,6,7,9,1,0,,MA= MUY DE ACUERDO
SAO4,0,0,2,3,13,3,6,,TA= TOTALMENTE DE ACUERDO
EI1,15,4,6,1,1,0,0,,
EI2,14,3,5,3,2,0,0,,
EI3,7,1,12,5,2,0,0,,
EC1,4,7,10,2,4,0,0,,
EC2,1,1,13,4,7,0,1,,
EC3,1,3,11,3,9,0,0,,
EC4,0,5,5,6,11,0,0,,
OEO1,13,2,9,2,1,0,0,,
OEO2,18,3,4,2,0,0,0,,
OEO3,0,2,19,0,6,0,0,,
OEO4,0,2,14,0,11,0,0,,
OEO5,18,3,3,3,0,0,0,,
OEO6,11,8,5,3,0,0,0,,
OED1,2,3,6,0,16,0,0,,
OED2,2,3,13,3,6,0,0,,
OED3,19,3,4,0,1,0,0,,
OED4,0,1,14,5,7,0,0,,
OED5,0,2,6,6,13,0,0,,
