,TD,MD,ED,NE,DA,MA,TA,,
SAI1,0,0,0,0,1,5,0,,
SAI2,0,0,0,0,2,0,4,,
SAI3,0,0,0,0,2,1,3,,TD=TOTALMENTE EN DESACUERDO
SAI4,0,0,0,3,2,0,1,,MD= MUY EN DESACUERDO
SAI5,0,0,1,0,4,1,0,,ED= EN DESACUERDO
SAO1,0,0,0,1,4,1,0,,NE= NEUTRO
SAO2,0,0,0,2,0,4,0,,DA= DE ACUERDO
SAO3,0,0,0,1,5,0,0,,MA= MUY DE ACUERDO
SAO4,0,0,0,1,3,2,0,,TA= TOTALMENTE DE ACUERDO
EI1,0,1,0,2,2,1,0,,
EI2,3,2,1,0,0,0,0,,
EI3,0,2,4,0,0,0,0,,
EC1,0,0,0,0,4,2,0,,
EC2,0,0,0,0,3,3,0,,
EC3,3,1,0,2,0,0,0,,
EC4,0,1,2,2,1,0,0,,
OEO1,0,0,1,0,5,0,0,,
OEO2,0,0,0,1,3,1,1,,
OEO3,0,2,2,1,1,0,0,,
OEO4,0,1,4,0,1,0,0,,
OEO5,2,1,0,1,1,1,0,,
OEO6,3,3,0,0,0,0,0,,
OED1,0,0,3,0,3,0,0,,
OED2,0,0,2,1,3,0,0,,
OED3,0,0,2,0,4,0,0,,
OED4,1,2,0,0,3,0,0,,
OED5,0,0,1,1,4,0,0,,
