,TD,MD,ED,NE,DA,MA,TA,,
SAI1,1,4,2,5,3,0,2,,
SAI2,0,1,1,3,10,0,2,,
SAI3,0,0,0,3,4,3,7,,TD=TOTALMENTE EN DESACUERDO
SAI4,0,0,2,3,2,3,7,,MD= MUY EN DESACUERDO
SAI5,0,1,0,6,5,1,4,,ED= EN DESACUERDO
SAO1,0,0,3,5,4,1,4,,NE= NEUTRO
SAO2,0,3,2,5,3,3,1,,DA= DE ACUERDO
SAO3,0,1,2,6,1,2,5,,MA= MUY DE ACUERDO
SAO4,0,1,1,1,6,4,4,,TA= TOTALMENTE DE ACUERDO
EI1,0,2,3,5,7,0,0,,
EI2,0,3,2,4,8,0,0,,
EI3,0,1,1,2,9,4,0,,
EC1,0,2,0,4,3,2,6,,
EC2,0,2,0,0,5,3,7,,
EC3,0,1,2,7,7,0,0,,
EC4,0,1,8,3,5,0,0,,
OEO1,0,0,3,5,5,4,0,,
OEO2,0,0,2,3,6,6,0,,
OEO3,0,0,0,8,9,0,0,,
OEO4,0,2,4,6,5,0,0,,
OEO5,0,2,2,6,7,0,0,,
OEO6,2,1,1,7,6,0,0,,
OED1,0,0,4,2,6,4,1,,
OED2,0,0,5,0,9,1,2,,
OED3,0,0,2,1,7,7,0,,
OED4,0,0,0,4,6,5,2,,
OED5,0,0,6,0,5,0,6,,
