,TD,MD,ED,NE,DA,MA,TA,,
SAI1,0,3,3,4,10,5,4,,
SAI2,0,0,1,1,15,5,7,,
SAI3,0,1,1,4,12,3,8,,TD=TOTALMENTE EN DESACUERDO
SAI4,0,0,1,4,7,9,8,,MD= MUY EN DESACUERDO
SAI5,2,1,0,4,10,2,10,,ED= EN DESACUERDO
SAO1,0,1,2,1,10,3,12,,NE= NEUTRO
SAO2,0,3,4,1,9,12,0,,DA= DE ACUERDO
SAO3,0,0,1,7,9,2,10,,MA= MUY DE ACUERDO
SAO4,0,0,0,1,12,5,11,,TA= TOTALMENTE DE ACUERDO
EI1,0,2,5,8,14,0,0,,
EI2,0,2,6,10,11,0,0,,
EI3,0,0,0,4,14,11,0,,
EC1,1,0,0,1,5,7,15,,
EC2,0,1,1,1,12,10,4,,
EC3,0,0,3,12,14,0,0,,
EC4,3,0,5,6,15,0,0,,
OEO1,0,0,7,9,10,3,0,,
OEO2,0,0,8,0,12,9,0,,
OEO3,0,0,5,9,15,0,0,,
OEO4,0,2,4,11,12,0,0,,
OEO5,1,1,4,9,14,0,0,,
OEO6,0,3,5,7,14,0,0,,
OED1,0,0,4,3,8,7,7,,
OED2,0,0,2,0,20,4,3,,
OED3,0,0,3,2,12,12,0,,
OED4,0,0,0,10,11,6,2,,
OED5,0,0,6,0,10,0,13,,
