,TD,MD,ED,NE,DA,MA,TA,,
SAI1,0,4,7,4,1,1,7,,
SAI2,0,0,3,0,8,6,7,,
SAI3,0,0,0,1,1,4,18,,TD=TOTALMENTE EN DESACUERDO
SAI4,0,0,1,1,6,6,10,,MD= MUY EN DESACUERDO
SAI5,3,5,0,7,2,2,5,,ED= EN DESACUERDO
SAO1,1,0,8,6,1,0,8,,NE= NEUTRO
SAO2,1,0,5,1,4,8,5,,DA= DE ACUERDO
SAO3,0,2,1,6,7,7,1,,MA= MUY DE ACUERDO
SAO4,0,1,4,0,7,2,10,,TA= TOTALMENTE DE ACUERDO
EI1,3,1,1,11,8,0,0,,
EI2,2,2,4,5,11,0,0,,
EI3,0,0,3,9,7,5,0,,
EC1,1,0,0,0,1,7,15,,
EC2,0,0,0,0,3,3,18,,
EC3,2,1,0,13,8,0,0,,
EC4,3,1,5,8,6,1,0,,
OEO1,0,0,6,3,11,4,0,,
OEO2,0,0,3,5,9,7,0,,
OEO3,0,0,4,5,15,0,0,,
OEO4,0,0,4,13,7,0,0,,
OEO5,2,5,1,8,7,1,0,,
OEO6,1,2,5,7,9,0,0,,
OED1,0,0,3,2,9,8,2,,
OED2,0,0,3,0,14,1,6,,
OED3,0,0,6,1,8,9,0,,
OED4,0,0,0,5,11,8,0,,
OED5,0,0,5,0,5,0,14,,
