EVA,TD,MD,ED,NE,DA,MA,TA,HOSPITAL,ID
SAI3,0,0,4,1,2,2,0,HLAP,20
SAI4,0,0,1,2,1,1,4,HLAP,20
SAI5,1,0,2,1,3,2,0,HLAP,20
SAO1,2,1,4,0,2,0,0,HLAP,20
SAO2,1,1,6,0,1,0,0,HLAP,20
SAO3,0,4,4,0,1,0,0,HLAP,20
SAO4,0,0,1,1,4,1,2,HLAP,20
EI1,0,0,5,0,4,0,0,HLAP,20
EI2,6,1,1,0,1,0,0,HLAP,20
EI3,0,2,3,0,2,2,0,HLAP,20
EC1,6,1,2,0,0,0,0,HLAP,20
EC2,4,4,1,0,0,0,0,HLAP,20
EC3,4,4,1,0,0,0,0,HLAP,20
EC4,5,2,2,0,0,0,0,HLAP,20
OEO1,3,0,3,2,1,0,0,HLAP,20
OEO2,6,1,1,0,1,0,0,HLAP,20
OEO3,3,1,5,0,0,0,0,HLAP,20
OEO4,1,0,1,2,4,1,0,HLAP,20
OEO5,5,1,3,0,0,0,0,HLAP,20
OEO6,5,0,2,0,2,0,0,HLAP,20
OED1,0,0,0,1,6,2,0,HLAP,20
OED2,0,1,1,2,3,1,1,HLAP,20
OED3,5,1,3,0,0,0,0,HLAP,20
OED4,0,1,0,2,6,0,0,HLAP,20
OED5,0,0,1,1,3,1,3,HLAP,20
SAI1,2,1,3,2,2,0,0,HPM,21
SAI2,0,0,0,2,1,2,5,HPM,21
SAI3,0,0,4,0,5,1,0,HPM,21
SAI4,0,0,0,2,2,2,4,HPM,21
SAI5,1,1,1,3,3,1,0,HPM,21
SAO1,1,0,5,0,4,0,0,HPM,21
SAO2,3,0,4,0,3,0,0,HPM,21
SAO3,1,2,1,3,3,0,0,HPM,21
SAO4,0,0,2,2,2,1,3,HPM,21
EI1,0,0,2,1,6,0,1,HPM,21
EI2,5,0,2,3,0,0,0,HPM,21
EI3,0,2,5,1,1,1,0,HPM,21
EC1,4,1,2,1,2,0,0,HPM,21
EC2,3,2,3,1,1,0,0,HPM,21
EC3,3,2,1,3,1,0,0,HPM,21
EC4,5,2,2,1,0,0,0,HPM,21
OEO1,2,0,5,2,1,0,0,HPM,21
OEO2,5,0,2,3,0,0,0,HPM,21
OEO3,2,0,6,2,0,0,0,HPM,21
OEO4,1,0,2,2,5,0,0,HPM,21
OEO5,4,0,5,1,0,0,0,HPM,21
OEO6,3,0,5,2,0,0,0,HPM,21
OED1,1,0,0,0,5,3,1,HPM,21
OED2,0,0,3,0,4,2,1,HPM,21
OED3,3,0,6,1,0,0,0,HPM,21
OED4,1,0,2,1,6,0,0,HPM,21
OED5,0,0,2,2,4,1,1,HPM,21
