,TD,MD,ED,NE,DA,MA,TA,,
SAI1,2,1,1,3,4,11,6,,
SAI2,1,1,1,4,4,0,17,,
SAI3,1,0,1,4,4,1,17,,TD=TOTALMENTE EN DESACUERDO
SAI4,0,2,4,5,6,2,9,,MD= MUY EN DESACUERDO
SAI5,0,3,4,3,5,12,1,,ED= EN DESACUERDO
SAO1,0,0,4,1,9,11,3,,NE= NEUTRO
SAO2,0,0,2,3,8,8,7,,DA= DE ACUERDO
SAO3,2,2,4,5,12,2,1,,MA= MUY DE ACUERDO
SAO4,0,0,5,4,6,9,4,,TA= TOTALMENTE DE ACUERDO
EI1,0,3,13,4,8,0,0,,
EI2,8,5,9,6,0,0,0,,
EI3,12,2,11,2,1,0,0,,
EC1,0,0,6,5,13,3,1,,
EC2,0,0,10,2,9,5,2,,
EC3,12,1,8,6,0,1,0,,
EC4,4,1,10,4,8,0,1,,
OEO1,0,3,6,5,11,2,1,,
OEO2,0,2,16,6,3,1,0,,
OEO3,9,3,10,3,3,0,0,,
OEO4,2,4,14,3,3,2,0,,
OEO5,3,4,16,3,2,0,0,,
OEO6,9,6,10,1,0,2,0,,
OED1,0,3,10,6,9,0,0,,
OED2,2,4,5,7,10,0,0,,
OED3,2,3,5,8,10,0,0,,
OED4,6,1,8,8,5,0,0,,
OED5,1,4,6,7,10,0,0,,
