,TD,MD,ED,NE,DA,MA,TA,,
SAI1,0,0,2,1,3,1,1,,
SAI2,0,0,0,2,2,1,3,,
SAI3,1,0,0,0,1,4,2,,TD=TOTALMENTE EN DESACUERDO
SAI4,0,0,2,1,4,0,1,,MD= MUY EN DESACUERDO
SAI5,0,0,1,3,3,1,0,,ED= EN DESACUERDO
SAO1,0,0,1,0,5,1,1,,NE= NEUTRO
SAO2,0,1,0,2,4,1,0,,DA= DE ACUERDO
SAO3,0,0,3,2,1,2,0,,MA= MUY DE ACUERDO
SAO4,0,0,0,1,4,3,0,,TA= TOTALMENTE DE ACUERDO
EI1,0,0,5,1,1,1,0,,
EI2,2,1,5,0,0,0,0,,
EI3,2,1,4,0,1,0,0,,
EC1,0,1,3,2,2,0,0,,
EC2,0,0,4,3,0,1,0,,
EC3,8,0,0,0,0,0,0,,
EC4,3,0,1,1,2,1,0,,
OEO1,0,0,6,1,0,1,0,,
OEO2,1,2,2,2,0,1,0,,
OEO3,2,0,6,0,0,0,0,,
OEO4,1,1,4,2,0,0,0,,
OEO5,4,1,3,0,0,0,0,,
OEO6,3,3,1,1,0,0,0,,
OED1,0,3,3,2,0,0,0,,
OED2,2,2,2,2,0,0,0,,
OED3,2,1,3,2,0,0,0,,
OED4,4,0,1,3,0,0,0,,
OED5,0,0,1,2,5,0,0,,
