,TD,MD,ED,NE,DA,MA,TA,,
SAI1,0,2,6,3,0,0,1,,
SAI2,0,0,0,5,5,0,2,,
SAI3,0,0,0,2,1,4,5,,TD=TOTALMENTE EN DESACUERDO
SAI4,0,0,0,3,2,1,6,,MD= MUY EN DESACUERDO
SAI5,3,1,5,2,1,0,0,,ED= EN DESACUERDO
SAO1,1,0,3,6,2,0,0,,NE= NEUTRO
SAO2,0,0,5,3,2,2,0,,DA= DE ACUERDO
SAO3,0,0,1,3,2,1,5,,MA= MUY DE ACUERDO
SAO4,0,0,0,5,6,0,1,,TA= TOTALMENTE DE ACUERDO
EI1,0,0,1,4,7,0,0,,
EI2,0,0,0,9,3,0,0,,
EI3,0,0,0,5,7,0,0,,
EC1,0,0,0,4,1,1,6,,
EC2,0,0,0,1,2,5,4,,
EC3,0,2,3,1,6,0,0,,
EC4,0,1,2,7,2,0,0,,
OEO1,0,0,0,6,6,0,0,,
OEO2,0,0,0,0,7,5,0,,
OEO3,0,0,0,8,4,0,0,,
OEO4,1,1,0,2,8,0,0,,
OEO5,2,1,2,6,1,0,0,,
OEO6,3,0,2,6,1,0,0,,
OED1,0,0,0,1,4,4,3,,
OED2,0,0,2,0,8,1,1,,
OED3,0,0,2,2,5,3,0,,
OED4,0,0,3,1,7,0,1,,
OED5,0,0,1,0,8,1,2,,
