,TD,MD,ED,NE,DA,MA,TA,,
SAI1,0,0,0,1,2,2,4,,
SAI2,0,0,0,1,2,0,6,,
SAI3,0,0,0,1,3,1,4,,TD=TOTALMENTE EN DESACUERDO
SAI4,0,0,1,2,2,0,4,,MD= MUY EN DESACUERDO
SAI5,0,1,1,0,6,0,1,,ED= EN DESACUERDO
SAO1,0,0,1,1,4,2,1,,NE= NEUTRO
SAO2,0,0,1,1,3,1,3,,DA= DE ACUERDO
SAO3,0,1,0,1,5,1,1,,MA= MUY DE ACUERDO
SAO4,0,0,0,0,6,2,1,,TA= TOTALMENTE DE ACUERDO
EI1,0,1,3,3,0,1,1,,
EI2,4,0,3,2,0,0,0,,
EI3,5,0,1,0,3,0,0,,
EC1,0,1,3,2,1,0,2,,
EC2,0,1,4,2,0,1,1,,
EC3,6,1,1,0,1,0,0,,
EC4,1,1,3,3,0,1,0,,
OEO1,0,0,2,1,6,0,0,,
OEO2,0,1,4,2,2,0,0,,
OEO3,2,0,3,2,1,1,0,,
OEO4,1,0,4,2,1,1,0,,
OEO5,1,0,5,2,1,0,0,,
OEO6,5,0,3,0,1,0,0,,
OED1,0,0,1,2,6,0,0,,
OED2,1,0,1,2,5,0,0,,
OED3,1,0,1,3,4,0,0,,
OED4,1,0,1,3,4,0,0,,
OED5,0,1,2,3,3,0,0,,
