,TD,MD,ED,NE,DA,MA,TA,,
SAI1,1,1,1,3,1,2,2,,
SAI2,0,0,0,2,1,1,7,,
SAI3,0,0,0,1,1,1,8,,TD=TOTALMENTE EN DESACUERDO
SAI4,0,0,0,3,0,3,5,,MD= MUY EN DESACUERDO
SAI5,0,0,0,1,1,2,7,,ED= EN DESACUERDO
SAO1,0,0,0,0,0,3,8,,NE= NEUTRO
SAO2,0,1,0,2,4,1,3,,DA= DE ACUERDO
SAO3,0,1,4,2,1,1,2,,MA= MUY DE ACUERDO
SAO4,1,0,0,0,2,3,5,,TA= TOTALMENTE DE ACUERDO
EI1,0,2,5,1,1,1,1,,
EI2,0,1,3,3,4,0,0,,
EI3,0,0,7,1,1,1,1,,
EC1,0,1,4,2,2,1,1,,
EC2,0,2,2,1,2,2,2,,
EC3,0,0,6,3,2,0,0,,
EC4,0,5,2,1,1,1,1,,
OEO1,0,0,0,3,8,0,0,,
OEO2,0,0,0,3,8,0,0,,
OEO3,0,0,0,3,8,0,0,,
OEO4,0,0,0,2,9,0,0,,
OEO5,0,0,4,1,6,0,0,,
OEO6,0,0,1,2,8,0,0,,
OED1,0,0,0,0,7,0,4,,
OED2,0,0,0,0,8,0,3,,
OED3,0,0,0,0,8,0,3,,
OED4,0,0,0,1,8,2,0,,
OED5,0,0,0,4,7,0,0,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
