,TD,MD,ED,NE,DA,MA,TA,,
SAI1,5,0,4,5,3,1,2,,
SAI2,0,0,2,1,1,1,15,,
SAI3,0,0,0,1,4,1,14,,TD=TOTALMENTE EN DESACUERDO
SAI4,1,0,1,1,3,2,12,,MD= MUY EN DESACUERDO
SAI5,1,0,0,2,1,2,14,,ED= EN DESACUERDO
SAO1,0,0,0,0,3,2,15,,NE= NEUTRO
SAO2,0,2,0,1,4,2,11,,DA= DE ACUERDO
SAO3,0,2,4,3,5,1,5,,MA= MUY DE ACUERDO
SAO4,1,1,0,3,4,2,9,,TA= TOTALMENTE DE ACUERDO
EI1,0,1,7,2,1,2,7,,
EI2,0,1,8,6,4,1,0,,
EI3,0,1,4,4,4,3,4,,
EC1,0,0,5,2,6,2,5,,
EC2,0,0,11,3,1,3,2,,
EC3,0,1,10,4,5,0,0,,
EC4,1,3,7,3,4,2,0,,
OEO1,2,0,0,7,11,0,0,,
OEO2,0,0,2,10,8,0,0,,
OEO3,0,0,3,5,12,0,0,,
OEO4,0,0,1,13,6,0,0,,
OEO5,2,0,4,5,9,0,0,,
OEO6,2,1,1,8,8,0,0,,
OED1,0,0,0,0,13,0,7,,
OED2,0,0,0,0,11,0,9,,
OED3,0,0,0,0,8,2,10,,
OED4,0,0,0,2,9,9,0,,
OED5,0,0,1,7,12,0,0,,
