,TD,MD,ED,NE,DA,MA,TA,,
SAI1,0,0,2,4,3,2,4,,
SAI2,0,0,0,1,6,5,3,,
SAI3,0,1,0,3,2,6,3,,TD=TOTALMENTE EN DESACUERDO
SAI4,0,0,2,3,6,2,2,,MD= MUY EN DESACUERDO
SAI5,2,0,2,4,6,1,0,,ED= EN DESACUERDO
SAO1,3,0,1,1,7,3,0,,NE= NEUTRO
SAO2,0,0,2,1,6,4,2,,DA= DE ACUERDO
SAO3,0,0,3,4,6,1,1,,MA= MUY DE ACUERDO
SAO4,0,1,3,2,5,4,0,,TA= TOTALMENTE DE ACUERDO
EI1,2,2,5,1,3,2,0,,
EI2,10,2,3,0,0,0,0,,
EI3,3,1,8,2,1,0,0,,
EC1,0,3,2,4,3,2,1,,
EC2,0,1,2,5,3,3,1,,
EC3,11,2,0,1,1,0,0,,
EC4,4,1,6,2,1,1,0,,
OEO1,2,2,0,4,4,3,0,,
OEO2,1,3,4,3,3,1,0,,
OEO3,5,2,6,0,2,0,0,,
OEO4,1,3,7,1,1,1,1,,
OEO5,3,2,5,1,1,3,0,,
OEO6,8,4,3,0,0,0,0,,
OED1,2,1,4,5,3,0,0,,
OED2,0,3,5,7,0,0,0,,
OED3,0,1,7,5,2,0,0,,
OED4,3,2,4,5,1,0,0,,
OED5,1,3,4,1,5,1,0,,
