,TD,MD,ED,NE,DA,MA,TA,,
SAI1,1,0,1,2,2,4,0,,
SAI2,0,0,0,0,1,1,8,,
SAI3,0,0,0,0,1,1,8,,TD=TOTALMENTE EN DESACUERDO
SAI4,0,0,0,0,1,1,8,,MD= MUY EN DESACUERDO
SAI5,0,0,0,1,3,4,2,,ED= EN DESACUERDO
SAO1,0,0,0,1,5,1,3,,NE= NEUTRO
SAO2,0,0,0,1,3,2,4,,DA= DE ACUERDO
SAO3,0,0,1,0,4,3,2,,MA= MUY DE ACUERDO
SAO4,1,0,1,1,3,4,0,,TA= TOTALMENTE DE ACUERDO
EI1,0,1,1,0,4,3,1,,
EI2,4,0,5,1,0,0,0,,
EI3,4,1,3,1,1,0,0,,
EC1,0,0,0,1,7,2,0,,
EC2,0,0,0,1,3,4,2,,
EC3,0,0,0,2,6,0,2,,
EC4,0,0,4,2,1,3,0,,
OEO1,0,0,2,5,2,0,1,,
OEO2,0,0,0,5,5,0,0,,
OEO3,0,0,0,8,1,1,0,,
OEO4,0,0,4,2,4,0,0,,
OEO5,1,2,3,1,2,1,0,,
OEO6,6,1,2,1,0,0,0,,
OED1,0,1,1,3,5,0,0,,
OED2,0,0,0,2,8,0,0,,
OED3,0,0,0,2,8,0,0,,
OED4,0,0,0,5,5,0,0,,
OED5,0,0,0,2,8,0,0,,
